Title,ISBN
Sand Creek and the rhetoric of extermination : a case study in Indian-White relations /,9780819173140;0819173142
Fighting Indians of the West /,
Frontier regulars : the United States army and the Indian 1866-1891 /,9780253281500;0253281504
"The last stand : Custer, Sitting Bull and the Battle of the Little Big Horn /",1847920098;9781847920096
Custer and the epic of defeat /,9780271011721;0271011726
The last stand of the Nez Perce : destruction of a people /,
"Chasing Geronimo : the journal of Leonard Wood, May-September 1886 /",080322527X;9780803225275
First-hand report : the inside story of the Eisenhower administration /,
Eisenhower as President /,
"Holding the line : the Eisenhower era, 1952-1961 /",9780253328403;0253328403
The radical right /,9780836924473;0836924479
The new American right /,
The coming political breakthrough /,
Cold warriors : Eisenhower's generation and American foreign policy /,9780231065269;0231065264
Eisenhower and the anti-communist crusade /,9780807820155;0807820156
Conscience in politics : Adlai E. Stevenson in the 1950's /,
"The Eisenhower presidency, 1953-1961 /",9780582368187;0582368189
Eisenhower and the Cold War /,9780195028232;0195028236
Eisenhower : the inside Story /,
"Eisenhower the President : Crucial Days, 1951-1960 /",9780132468688;0132468689
"Where the boys are : Cuba, Cold War America and the making of a new left /",9780860916901;0860916901
Eighteen acres under glass /,
"The diary of James C. Hagerty : Eisenhower in mid-course, 1954-1955 /",9780253116253;0253116252
The ordeal of power : a political memoir of the Eisenhower years /,
U.S.A. '53 : the truth behind Eisenhower /,
The Communist world and ours /,
Revolt of the moderates /,
Reevaluating Eisenhower : American foreign policy in the 1950s /,9780252060670;0252060679
The new America : politics and society in the age of the smooth deal /,
"Eisenhower versus 'the spenders' : the Eisenhower administration, the Democrats and the budget, 1953-60 /",9780861879991;0861879996
"Dulles : a biography of Eleanor, Allen, and John Foster Dulles and their family network /",9780340224540;0340224541
A matter of justice : Eisenhower and the beginning of the Civil Rights revolution /,1416541500;9781416541509;1416541519;9781416541516
Eisenhower and the American crusades /,
Senator Joe McCarthy.,
The presidency of Dwight D. Eisenhower /,9780700604364;0700604367
Apostles of discord : a study of organized bigotry and disruption on the fringes of Protestantism /,
What I think /,
Reflections of an angry middle-aged editor /,
Power and diplomacy /,
Eisenhower's Gettysburg farm /,1467124826;9781467124829
Ike : the life and times of Dwight D. Eisenhower /,9780436068133;0436068133
Dwight D. Eisenhower : hero and politician /,9780805777529;0805777520
The Eisenhower presidency and American foreign policy /,
John Foster Dulles /,
The Eisenhower presidency : eleven intimate perspectives of Dwight D. Eisenhower /,9780819139863;0819139866
Eisenhower : at war 1943-1945 /,9780002177696;0002177692
The wine is bitter : the United States and Latin America /,
Dulles over Suez : the theory and practice of his diplomacy /,
Foreign policy : the next phase : the 1960s /,
The new isolationism : a study in politics and foreign policy since 1950 /,
Realities of American foreign policy /,
The strategy of peace /,
The necessity for choice : prospects of American foreign policy /,
Dwight D. Eisenhower : Soldier and Statesman /,9780882296265;0882296264
Eisenhower : the White House years /,076792813X;9780767928137
National Leadership and Foreign Policy : a Case Study in the Mobilization of Public Support /,
Eisenhower : in war and peace /,140006693X;9781400066933
The Bricker amendment controversy : a test of Eisenhower's political leadership /,9780801420375;0801420377
The Eisenhower diaries /,9780393014327;0393014320
The White House years /,
The White House years /,
The papers of Dwight David Eisenhower /,
The papers of Dwight David Eisenhower /,
The papers of Dwight David Eisenhower /,
The papers of Dwight David Eisenhower /,9780801820618;0801820618
The papers of Dwight David Eisenhower /,9780801827204;0801827205
The papers of Dwight David Eisenhower /,9780801837265;080183726X
The papers of Dwight David Eisenhower /,9780801847523;0801847524
The papers of Dwight David Eisenhower /,9780801866388;0801866383
The papers of Dwight David Eisenhower /,9780801866845;0801866847
The papers of Dwight David Eisenhower /,9780801866999;0801866995
The papers of Dwight David Eisenhower /,9780801867187;0801867185
"Eisenhower, American hero : the historical record of his life.",
Eisenhower /,9780671440695;0671440691
The supreme commander : the war years of General Dwight D. Eisenhower /,
Eisenhower : captive hero : a study of the general and the President /,
The hidden-hand presidency : Eisenhower as leader /,9780465029488;0465029485
Eisenhower : the man and the symbol /,
Eisenhower : the President nobody knew /,
America's man of destiny : an intimate biography of General Eisenhower /,
President Eisenhower's cartoon book.,
The Eisenhowers : reluctant dynasty /,9780385124478;0385124473
"The real making of the president : Kennedy, Nixon, and the 1960 election /",070061639X;9780700616398
"The making of the President, 1960 /",
Six crises /,
"America in the sixties : right, left, and center : a documentary history /",9780275955168;0275955168
The sixties reader /,9780670806744;0670806749
Time it was : American stories from the sixties /,0131840770;9780131840775
Hubert Humphrey : the man and his dream /,9780458934508;045893450X
Historical materials in the Lyndon Baines Johnson Library.,
From the President : Richard Nixon's secret files /,9780060159535;0060159537
"Years of discord : American politics and society, 1961-1974 /",9780393029697;0393029697
Between two ages : America's role in the technetronic era /,
"The golden age is in us : journeys and encounters, 1987-1994 /",9780860914341;0860914348
Changing sources of power : American politics in the 1970s /,
The historical dictionary of the 1970s /,9780313305436;0313305439
"Anti-Americanism : critiques at home and abroad, 1965-1990 /",9780195038248;019503824X
Decade of disillusionment : the Kennedy-Johnson years /,
America in crisis : photographs for Magnum /,9780030810206;0030810205
Major problems in American history since 1945 : documents and essays.,0618550062;9780618550067
Major problems in American history since 1945 : documents and essays /,9780395868508;0395868505
Major problems in American history since 1945 : documents and essays /,9780669196252;0669196258
A brief history of the United States since 1945 /,
The unraveling of America : a history of liberalism in the 1960s /,9780060910860;0060910860
Coming apart : an informal history of America in the 1960's /,9780812901900;0812901908
The unwinding : an inner history of the new America /,0374102414;9780374102418
Restless giant : the United States from Watergate to Bush v. Gore /,9780195122169;019512216X
Empire or republic? : American global power and domestic decay /,9780415910651;041591065X
America the changing nation /,
The great divide : second thoughts on the American dream /,9780394570532;0394570537
The times were a changin' : the sixties reader /,9780609803370;0609803379
The United States in the 1980s /,9780817972813;0817972811
The Chomsky reader /,9781852421175;1852421177
The Americans : fifty Letters from America on our Life and Times /,9780370301631;0370301633
Imagine nation : the American counterculture of the 1960s and 70's /,9780415930390;0415930391;9780415930406;0415930405
America : the mixed curse /,
"The thirty years' wars : dispatches and diversions of a radical journalist, 1965-1994 /",9781859849026;1859849024
The peace of illusions : American grand strategy from 1940 to the present /,9780801437137;080143713X
The postwar epoch : perspectives on American history since 1945 /,9780060473242;006047324X
An American quarter century : US politics from Vietnam to Clinton /,9780719045158;0719045150
America's right turn : from Nixon to Bush /,9780801848261;0801848261
The age of entitlement : America since the sixties /,1501106899;9781501106897
The conservative sixties /,9780820455488;0820455482
Consequences of failure /,
The party that lost its head /,
The conscience of a majority /,
The eye of the storm : a people's politics for the seventies /,
They knew they were right : the rise of the neocons /,0385511817;9780385511810
The New Radicals : a Report with Documents /,
The hidden crisis in American politics /,9780393053708;0393053709
Happy days and wonder years : the fifties and the sixties in contemporary politics /,9780813533919;0813533910;9780813533902;0813533902
Suburban warriors : the origins of the new American right /,9780691096117;0691096112
Radicals or Conservatives? : the contemporary American right /,
Domestic policy and ideology : presidents and the American state 1964-1987 /,9780521320337;052132033X
Toothing stones : rethinking the political /,9780804005661;0804005664
Beyond the liberal consensus : a political history of the United States since 1965 /,9781850652045;185065204X
"War, presidents and public opinion /",9780471622994;0471622990
A Prophetic Minority /,
Too good to be forgotten : changing America in the '60s and '70s /,9780471295389;0471295388
Public affairs : politics in the age of sex scandals /,9780822332657;0822332655;9780822332763;0822332760
"The Megastates of America : People, Politics, and Power in the ten Great States /",9780393054583;0393054586
News as hegemonic reality : American political culture and the framing of news accounts /,9780275925345;027592534X
Washington /,9780026023108;0026023105
"Press, party, and presidency /",9780393014976;0393014975
Speaking out : activism and protest in the 1960s and 1970s /,013194214X;9780131942141;9780205700110;020570011X
